,이름,팀,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2루,피3루,피홈런,볼넷,고의사구,사구,탈삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
143,박주성,21키,13,0,0,0,0,1,0,0,18.1,11,10,89,24,1,0,1,9,0,2,12,0,1,4.91,4.53,1.80,90.3,96.5,0.11,-0.51,2000-11-09,20114
222,박주홍,21한,2,0,0,1,1,1,0,0,3.0,4,4,18,2,0,0,0,9,0,0,3,0,1,12.00,10.33,3.67,36.5,43.4,-0.12,-0.22,1999-08-20,20115
255,박준표,21K,32,0,0,0,2,4,0,4,32.0,24,21,158,42,9,1,3,17,0,9,18,0,0,5.91,5.86,1.84,75.3,75.9,-0.22,-1.48,1992-06-26,20116
98,박진우,21N,9,0,0,0,0,0,0,1,11.0,2,2,44,6,2,0,0,5,0,1,12,0,1,1.64,2.79,1.00,277.5,160.3,0.36,-0.01,1990-02-12,20117
174,박진태,21K,59,0,0,0,3,3,0,9,65.0,44,43,305,68,11,0,6,36,0,13,45,0,5,5.95,5.41,1.60,74.7,82.3,0.02,-1.08,1994-10-19,20118
251,박진형,21롯,22,0,0,0,2,1,0,0,16.0,14,14,81,25,6,2,1,10,1,0,23,0,0,7.88,2.96,2.19,57.7,150.5,-0.22,-0.43,1994-06-10,20119
101,박치국,21두,23,0,0,0,2,1,0,8,22.0,11,10,95,21,5,0,2,11,3,1,20,0,1,4.09,3.92,1.46,105.4,109.5,0.34,0.58,1998-03-10,20120
123,배동현,21한,20,0,0,4,1,3,0,0,38.0,21,19,177,34,9,1,3,25,0,4,26,2,1,4.50,5.28,1.55,97.3,84.5,0.23,-0.76,1998-03-16,20121
109,배민서,21N,32,0,0,2,1,0,0,0,40.0,26,22,187,51,6,0,3,17,0,4,23,0,3,4.95,4.73,1.70,91.7,95.1,0.30,0.40,1999-11-18,20122
151,배성근,21롯,2,0,0,0,0,0,0,0,2.0,0,0,9,2,0,0,0,1,0,0,1,0,0,0.00,3.83,1.50,,116.2,0.08,0.00,1995-04-27,20123
110,배재준,21L,15,0,0,6,2,2,0,0,32.2,17,15,151,42,10,0,1,13,0,3,23,0,1,4.13,3.79,1.68,104.4,115.7,0.30,-0.48,1994-11-24,20124
29,배제성,21K,26,0,0,26,9,10,0,0,141.2,67,58,621,126,27,1,6,82,1,1,136,0,9,3.68,3.70,1.47,121.9,120.3,2.55,0.35,1996-09-29,20125
82,백승현,21L,16,0,0,0,0,0,0,1,16.2,4,4,66,13,2,0,0,4,0,2,10,0,0,2.16,3.21,1.02,199.7,138.1,0.61,0.51,1995-05-26,20126
1,백정현,21삼,27,0,0,27,14,5,0,0,157.2,54,46,648,142,25,1,15,54,2,2,109,0,5,2.63,4.21,1.24,171.9,107.3,5.27,1.78,1987-07-13,20127
211,변시원,21K,1,0,0,0,0,0,0,0,0.2,2,2,7,1,0,0,0,3,0,1,0,0,0,27.00,21.33,6.00,16.5,21.0,-0.09,-0.03,1993-04-01,20128
